TICKER,Sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,Portfolio Weight,Min TE,MVO,Benchmark Weight
000826.SZ,环保行业,1,1,3,1,1,3,0.0000%,0.0000%,0.0000%,0.0660%
000839.SZ,综合行业,2,3,3,3,1,2,0.0000%,0.0000%,0.0000%,0.0910%
000858.SZ,酿酒行业,3,3,3,2,3,2,0.0000%,0.0000%,0.0000%,1.1720%
000876.SZ,农林牧渔,3,2,2,2,2,2,0.0000%,0.0000%,0.0000%,0.1680%
000895.SZ,食品行业,2,2,2,2,3,3,0.0000%,0.0000%,0.0000%,0.2480%
000898.SZ,钢铁行业,2,2,1,1,2,3,0.0000%,0.0000%,0.0000%,0.0960%
000938.SZ,电子信息,1,1,2,3,1,1,0.0000%,0.0000%,0.0000%,0.0630%
000959.SZ,钢铁行业,2,1,1,1,1,1,0.0000%,0.0000%,0.0000%,0.0610%
000961.SZ,建筑建材,3,2,3,3,1,1,0.0000%,0.0000%,0.0000%,0.1160%
000963.SZ,生物制药,1,2,3,2,2,2,0.0000%,0.0000%,0.0000%,0.1940%
000983.SZ,煤炭行业,2,2,1,1,1,1,0.0000%,0.0000%,0.0000%,0.0860%
001965.SZ,次新股,2,1,1,2,1,3,0.0000%,0.0000%,0.0000%,0.0460%
600048.SH,房地产,3,3,2,1,3,3,0.0000%,0.0000%,0.0000%,0.9200%
600038.SH,飞机制造,1,1,2,3,2,1,0.0000%,0.0000%,0.0000%,0.1190%
600036.SH,金融行业,3,3,2,1,3,3,3.8547%,6.0319%,0.0000%,3.0160%
002422.SZ,生物制药,3,1,2,3,1,1,0.0000%,0.0000%,0.0000%,0.1850%
002456.SZ,电子器件,3,3,3,3,2,1,0.0000%,0.0000%,0.0000%,0.1900%
002460.SZ,有色金属,1,2,3,2,1,1,0.0000%,0.0000%,0.0000%,0.1520%
002466.SZ,化工行业,1,2,2,2,2,1,0.0000%,0.0000%,0.0000%,0.1850%
002468.SZ,建筑建材,3,1,2,2,1,1,0.0000%,0.0000%,0.0000%,0.0580%
002475.SZ,电子器件,3,3,3,3,3,1,0.0000%,0.0000%,0.0000%,0.4050%
002493.SZ,化纤行业,2,1,1,3,3,1,0.0000%,0.0000%,0.0000%,0.1330%
002508.SZ,家电行业,3,2,3,2,1,3,0.0000%,0.0000%,0.0000%,0.1160%
002555.SZ,汽车制造,2,2,3,2,1,2,0.0000%,0.0000%,0.0000%,0.0680%
002558.SZ,酒店旅游,2,1,1,3,1,1,0.0000%,0.0000%,0.0000%,0.1180%
002572.SZ,家具行业,1,3,3,2,1,3,0.0000%,0.0000%,0.0000%,0.0980%
002594.SZ,汽车制造,1,2,3,3,3,1,0.0000%,0.0000%,0.0000%,0.4210%
002601.SZ,化工行业,1,1,1,1,1,3,3.5676%,0.0000%,0.0000%,0.0740%
002602.SZ,汽车制造,2,1,1,3,2,1,0.0000%,0.0000%,0.0000%,0.0900%
002624.SZ,传媒娱乐,1,1,3,2,1,1,0.0000%,0.0000%,0.0000%,0.1000%
002625.SZ,汽车制造,1,2,3,3,1,1,0.0000%,0.0000%,0.0000%,0.0400%
002450.SZ,化工行业,1,3,3,1,1,2,3.7101%,0.0000%,0.0000%,0.0900%
002415.SZ,仪器仪表,3,2,3,3,3,2,0.0000%,0.0000%,0.0000%,1.1100%
600030.SH,金融行业,3,3,2,2,3,2,0.0000%,0.0000%,0.0000%,1.4390%
002411.SZ,化工行业,1,1,1,3,1,1,0.0000%,0.0000%,0.0000%,0.0590%
600919.SH,NaN,2,2,1,1,2,3,0.0000%,0.0000%,0.0000%,0.4310%
600926.SH,NaN,2,2,1,1,1,3,0.0000%,0.0000%,0.0000%,0.1600%
600958.SH,金融行业,1,2,3,2,2,3,0.0000%,0.0000%,0.0000%,0.2870%
600977.SH,NaN,1,1,2,3,1,2,0.0000%,0.0000%,0.0000%,0.1120%
600998.SH,商业百货,2,1,1,2,2,1,0.0000%,0.0000%,0.0000%,0.0820%
002230.SZ,电子信息,1,3,3,3,3,1,0.0000%,0.0000%,0.0000%,0.4000%
002236.SZ,仪器仪表,2,3,3,2,1,2,0.0000%,0.0000%,0.0000%,0.2230%
002241.SZ,电子器件,1,2,2,1,1,2,0.0000%,0.0000%,0.0000%,0.1290%
002252.SZ,生物制药,1,3,3,3,2,1,0.0000%,0.0000%,0.0000%,0.0870%
002271.SZ,建筑建材,3,2,3,2,1,1,0.0000%,0.0000%,0.0000%,0.1450%
002294.SZ,生物制药,1,1,2,2,1,3,0.0000%,0.0000%,0.0000%,0.0830%
002304.SZ,酿酒行业,1,1,2,2,3,3,0.0000%,0.0000%,0.0000%,0.5700%
002310.SZ,建筑建材,1,3,3,1,1,1,0.0000%,0.0000%,0.0000%,0.0810%
002311.SZ,农林牧渔,3,1,1,3,2,1,0.0000%,0.0000%,0.0000%,0.1900%
002352.SZ,其它行业,1,1,1,3,2,1,0.0000%,0.0000%,0.0000%,0.1460%
002673.SZ,金融行业,1,3,3,3,2,1,0.0000%,0.0000%,0.0000%,0.1350%
002714.SZ,农林牧渔,3,1,3,3,2,1,0.0000%,0.0000%,0.0000%,0.2160%
002736.SZ,金融行业,1,2,3,2,3,2,0.0000%,0.0000%,0.0000%,0.2060%
002773.SZ,NaN,3,1,3,3,1,1,0.0000%,0.0000%,0.0000%,0.0510%
300433.SZ,电子器件,1,2,3,1,1,3,0.0000%,0.0000%,0.0000%,0.0460%
600000.SH,金融行业,3,2,1,1,3,1,0.0000%,0.0000%,0.0000%,1.2610%
600004.SH,交通运输,3,3,3,2,2,2,0.0000%,0.0000%,0.0000%,0.1220%
600009.SH,交通运输,3,1,2,2,3,1,0.0000%,0.0000%,0.0000%,0.4760%
600010.SH,钢铁行业,2,3,1,3,2,1,0.0000%,0.0000%,0.0000%,0.2680%
600011.SH,电力行业,1,2,3,3,3,2,0.0000%,0.0000%,0.0000%,0.2830%
600015.SH,金融行业,2,2,1,1,3,2,0.0000%,0.0000%,0.0000%,0.4660%
600016.SH,金融行业,2,3,1,1,3,2,0.0000%,0.0000%,0.0000%,1.4790%
600018.SH,交通运输,2,2,1,1,3,3,0.0000%,0.0000%,0.0000%,0.1740%
600019.SH,钢铁行业,2,2,1,1,3,3,3.1946%,0.0000%,0.0000%,0.6250%
600023.SH,电力行业,2,1,1,2,3,3,0.0000%,0.0000%,0.0000%,0.1830%
600025.SH,次新股,2,3,2,3,2,2,0.0000%,0.0000%,0.0000%,0.0580%
600027.SH,电力行业,1,2,3,3,2,1,0.0000%,0.0000%,0.0000%,0.1390%
600028.SH,石油行业,3,3,1,2,3,3,6.2184%,32.8566%,3.3742%,0.7130%
600029.SH,交通运输,2,3,2,2,3,1,0.0000%,0.0000%,0.0000%,0.2450%
300408.SZ,电子器件,3,1,2,3,2,2,0.0000%,0.0000%,0.0000%,0.1750%
300296.SZ,电子器件,1,2,3,1,1,2,0.0000%,0.0000%,0.0000%,0.0910%
300251.SZ,传媒娱乐,1,3,3,3,1,2,0.0000%,0.0000%,0.0000%,0.0720%
300033.SZ,电子信息,3,1,3,3,1,2,0.0000%,0.0000%,0.0000%,0.0920%
002797.SZ,NaN,1,3,3,3,1,1,0.0000%,0.0000%,0.0000%,0.1170%
