trade_date,Ticker,Sct,Return
2017-08-31,600737.SH,食品行业,0.024900
2017-08-31,600739.SH,物资外贸,-0.016100
2017-08-31,600741.SH,汽车制造,-0.014700
2017-08-31,600196.SH,生物制药,0.018600
2017-08-31,600585.SH,水泥行业,-0.030000
2017-08-31,600177.SH,服装鞋类,-0.052200
2017-08-31,600000.SH,金融行业,-0.048500
2017-08-31,002831.SH,NaN,-0.008000
2017-08-31,002841.SH,NaN,0.099800
2017-08-31,300017.SH,电子信息,0.103300
2017-08-31,300024.SH,机械行业,0.122400
2017-08-31,300027.SH,传媒娱乐,-0.028000
2017-08-31,300033.SH,电子信息,0.202600
2017-08-31,300059.SH,电子信息,0.265500
2017-08-31,300070.SH,环保行业,0.096500
2017-08-31,300072.SH,化工行业,0.052900
2017-08-31,300124.SH,仪器仪表,0.063400
2017-08-31,300133.SH,传媒娱乐,0.082200
2017-08-31,300144.SH,酒店旅游,-0.022200
2017-08-31,300168.SH,电子信息,0.021200
2017-08-31,300251.SH,传媒娱乐,-0.024200
2017-08-31,002797.SH,NaN,0.233700
2017-08-31,002736.SH,金融行业,0.006600
2017-08-31,002456.SH,电子器件,0.124000
2017-08-31,002465.SH,电子信息,-0.015500
2017-08-31,002466.SH,化工行业,0.070500
2017-08-31,002470.SH,农药化肥,0.003900
2017-08-31,002500.SH,金融行业,0.063800
2017-08-31,002714.SH,农林牧渔,0.402700
2017-08-31,002508.SH,家电行业,-0.025200
2017-08-31,002558.SH,酒店旅游,0.010800
2017-08-31,002594.SH,汽车制造,-0.005800
2017-08-31,002602.SH,汽车制造,-0.032600
2017-08-31,002673.SH,金融行业,0.069000
2017-08-31,300315.SH,电子信息,0.047500
2017-08-31,002839.SH,NaN,0.083900
2017-08-31,600008.SH,环保行业,0.130300
2017-08-31,600109.SH,金融行业,0.074600
2017-08-31,600061.SH,化纤行业,0.044600
2017-08-31,600066.SH,汽车制造,-0.060500
2017-08-31,600068.SH,建筑建材,-0.063400
2017-08-31,600085.SH,生物制药,-0.010300
2017-08-31,600104.SH,汽车制造,-0.012100
2017-08-31,600111.SH,有色金属,-0.007900
2017-08-31,600050.SH,电子信息,0.085600
2017-08-31,600115.SH,交通运输,0.039800
2017-08-31,600118.SH,飞机制造,0.016600
2017-08-31,600150.SH,船舶制造,0.094100
2017-08-31,600153.SH,物资外贸,-0.022700
2017-08-31,600157.SH,煤炭行业,-0.027000
2017-08-31,600009.SH,交通运输,0.055500
2017-08-31,600170.SH,建筑建材,-0.004600
2017-08-31,600060.SH,家电行业,0.008700
2017-08-31,600089.SH,发电设备,-0.043200
2017-08-31,600048.SH,房地产,-0.017200
2017-08-31,600028.SH,石油行业,-0.015900
2017-08-31,600015.SH,金融行业,-0.047000
2017-08-31,600016.SH,金融行业,-0.022500
2017-08-31,600018.SH,交通运输,-0.039600
2017-08-31,600019.SH,钢铁行业,0.107600
2017-08-31,600021.SH,电力行业,-0.005600
2017-08-31,600023.SH,电力行业,-0.012200
2017-08-31,600010.SH,钢铁行业,0.000800
2017-08-31,600029.SH,交通运输,0.088600
2017-08-31,600031.SH,机械行业,-0.075600
2017-08-31,600036.SH,金融行业,0.048600
2017-08-31,600037.SH,传媒娱乐,0.059700
2017-08-31,600038.SH,飞机制造,-0.033900
2017-08-31,600030.SH,金融行业,0.073200
2017-07-31,000686.SH,金融行业,0.065500
2017-07-31,000568.SH,酿酒行业,0.095100
2017-07-31,000623.SH,生物制药,0.009000
2017-07-31,000625.SH,汽车制造,-0.006400
2017-07-31,000627.SH,化工行业,0.238300
2017-07-31,000630.SH,有色金属,0.133000
2017-07-31,000651.SH,家电行业,0.003000
2017-07-31,000671.SH,房地产,-0.002200
2017-07-31,000725.SH,电子器件,-0.042000
2017-07-31,000709.SH,钢铁行业,0.286900
2017-07-31,000718.SH,房地产,-0.034600
2017-07-31,000728.SH,金融行业,0.092800
2017-07-31,000738.SH,飞机制造,-0.030000
2017-07-31,000750.SH,金融行业,0.044000
2017-07-31,000768.SH,飞机制造,-0.009100
2017-07-31,000776.SH,金融行业,0.052000
2017-07-31,000559.SH,汽车制造,-0.015300
2017-07-31,000060.SH,有色金属,0.105800
2017-07-31,000540.SH,房地产,0.224400
2017-07-31,000538.SH,生物制药,-0.053200
2017-07-31,000783.SH,金融行业,0.006600
2017-07-31,000063.SH,电子信息,-0.026100
2017-07-31,000069.SH,酒店旅游,-0.085700
2017-07-31,000100.SH,家电行业,0.069300
2017-07-31,000156.SH,传媒娱乐,-0.016000
2017-07-31,000157.SH,机械行业,0.066100
2017-07-31,000166.SH,金融行业,0.056000
2017-07-31,000333.SH,家电行业,-0.039000
2017-07-31,000338.SH,汽车制造,0.083900
2017-07-31,000402.SH,房地产,0.006500
2017-07-31,000413.SH,电子器件,0.041900
2017-07-31,000415.SH,金融行业,0.048400
2017-07-31,000423.SH,生物制药,-0.097900
2017-07-31,000425.SH,机械行业,0.072400
2017-07-31,002292.SH,传媒娱乐,-0.151800
2017-07-31,002241.SH,电子器件,0.003100
2017-07-31,000792.SH,农药化肥,0.114900
2017-07-31,002044.SH,服装鞋类,-0.070200
2017-07-31,002065.SH,电子信息,-0.050800
2017-07-31,002074.SH,发电设备,0.137000
2017-07-31,002081.SH,建筑建材,0.005000
2017-07-31,002131.SH,机械行业,-0.056000
2017-07-31,002142.SH,金融行业,0.086000
2017-07-31,002146.SH,房地产,0.072000
2017-07-31,002152.SH,电子信息,-0.028500
2017-07-31,002153.SH,电子信息,-0.018600
2017-07-31,002174.SH,电子信息,-0.020200
2017-07-31,002183.SH,交通运输,-0.059900
2017-07-31,002195.SH,电子信息,0.105500
2017-07-31,002202.SH,发电设备,-0.013200
2017-07-31,002230.SH,电子信息,0.193900
2017-07-31,002236.SH,仪器仪表,0.061600
2017-07-31,000008.SH,综合行业,0.036400
2017-07-31,002049.SH,电子器件,-0.202000
2017-07-31,002027.SH,电子信息,-0.068500
2017-07-31,000793.SH,传媒娱乐,0.034900
2017-07-31,002024.SH,商业百货,0.062800
2017-07-31,000826.SH,环保行业,-0.072700
2017-07-31,000839.SH,综合行业,-0.049300
2017-07-31,000858.SH,酿酒行业,0.005900
2017-07-31,000876.SH,农林牧渔,0.011600
2017-07-31,000895.SH,食品行业,-0.111900
2017-07-31,000917.SH,传媒娱乐,-0.067600
2017-07-31,000938.SH,电子信息,-0.098000
2017-07-31,000959.SH,钢铁行业,0.091600
2017-07-31,000961.SH,建筑建材,-0.046500
2017-07-31,000963.SH,生物制药,-0.064100
2017-07-31,000977.SH,电子信息,0.061100
2017-07-31,000983.SH,煤炭行业,0.221800
2017-07-31,001979.SH,NaN,-0.067900
2017-07-31,002007.SH,生物制药,-0.240800
2017-07-31,002008.SH,仪器仪表,0.040200
2017-07-31,000009.SH,房地产,0.176800
2017-07-31,601006.SH,交通运输,0.044300
2017-07-31,000002.SH,房地产,-0.061000
2017-07-31,600741.SH,汽车制造,-0.080700
2017-07-31,600804.SH,电子信息,-0.039400
2017-07-31,600816.SH,金融行业,0.064700
2017-07-31,600820.SH,建筑建材,-0.038700
2017-07-31,600827.SH,商业百货,-0.070700
2017-07-31,600837.SH,金融行业,0.017900
2017-07-31,600871.SH,石油行业,-0.034900
2017-07-31,600886.SH,电力行业,0.043600
2017-07-31,600887.SH,食品行业,-0.043700
2017-07-31,600893.SH,飞机制造,0.064500
2017-07-31,600895.SH,开发区,0.001900
2017-07-31,600900.SH,电力行业,0.038000
2017-07-31,600909.SH,NaN,-0.033700
2017-07-31,600919.SH,NaN,-0.027600
2017-07-31,600926.SH,NaN,0.001400
2017-07-31,600958.SH,金融行业,0.172200
2017-07-31,600739.SH,物资外贸,0.057600
2017-07-31,000001.SH,金融行业,0.147300
2017-07-31,600737.SH,食品行业,0.039900
2017-07-31,600588.SH,电子信息,0.051900
2017-07-31,600606.SH,房地产,0.021500
2017-07-31,600637.SH,传媒娱乐,-0.033200
2017-07-31,600649.SH,供水供气,0.023900
2017-07-31,600660.SH,汽车制造,-0.110500
2017-07-31,600663.SH,房地产,0.002000
2017-07-31,600674.SH,电力行业,0.050300
2017-07-31,600682.SH,商业百货,-0.006800
2017-07-31,600685.SH,船舶制造,-0.044100
2017-07-31,600688.SH,石油行业,0.072400
2017-07-31,600690.SH,家电行业,-0.066800
2017-07-31,600703.SH,电子器件,-0.019200
2017-07-31,600704.SH,物资外贸,0.057800
2017-07-31,600705.SH,金融行业,0.055200
2017-07-31,600718.SH,电子信息,0.007300
2017-07-31,600977.SH,NaN,-0.005800
2017-07-31,600999.SH,金融行业,0.053800
2017-07-31,601288.SH,金融行业,0.102400
2017-07-31,601318.SH,金融行业,0.062100
2017-07-31,601328.SH,金融行业,0.083700
2017-07-31,601333.SH,交通运输,0.096400
2017-07-31,601336.SH,金融行业,0.119100
2017-07-31,601375.SH,NaN,-0.140400
2017-07-31,601377.SH,金融行业,0.093500
2017-07-31,601390.SH,建筑建材,0.022700
2017-07-31,601398.SH,金融行业,0.094800
2017-07-31,601555.SH,金融行业,0.066800
2017-07-31,601600.SH,有色金属,0.291900
2017-07-31,601601.SH,金融行业,0.011100
2017-07-31,601607.SH,商业百货,-0.130200
2017-07-31,601608.SH,机械行业,-0.045000
2017-07-31,601611.SH,NaN,-0.037200
2017-07-31,601229.SH,NaN,0.025400
2017-07-31,601225.SH,煤炭行业,0.200000
2017-07-31,601216.SH,化工行业,0.094800
